                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2304,                 1.3745,                 1.1517,                0.97151,                0.93641,                 0.9665,                0.64575,                      0,                    inf,                      0,               0.070078,              0.0033247,              0.0033247
                      1,                 1.2021,                0.77821,                 1.0898,                0.96621,                0.91676,                0.95156,                0.60854,                      0,                    inf,                      0,               0.039946,              0.0065262,              0.0065262
                      2,                 1.2198,                0.77957,                 1.1084,                0.97247,                0.91304,                0.95685,                0.61199,                      0,                    inf,                      0,              0.0096821,              0.0095957,              0.0095957
                      3,                 1.2318,                0.77525,                 1.1149,                0.89537,                0.92174,                0.90711,                0.59332,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      4,                 1.2058,                0.70179,                  1.109,                0.98197,                 0.9337,                 0.9669,                0.65671,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      5,                 1.1798,                0.66152,                 1.1012,                0.94531,                 0.9413,                0.93811,                 0.6237,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                      6,                  1.167,                0.63497,                 1.0923,                0.97691,                0.94282,                0.96603,                0.65728,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                      7,                 1.1681,                0.61233,                 1.0916,                 0.9745,                0.93472,                0.96898,                0.66905,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                      8,                 1.1497,                0.60469,                 1.0783,                0.97253,                0.94265,                 0.9674,                0.66693,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                      9,                  1.145,                0.58758,                   1.08,                 0.9767,                0.93913,                0.96801,                0.67032,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     10,                 1.1371,                0.57933,                 1.0753,                0.98017,                0.94674,                0.97123,                0.67381,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     11,                 1.1292,                0.56665,                 1.0756,                0.97951,                0.94402,                0.97275,                0.68664,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     12,                  1.134,                0.56418,                 1.0719,                0.98211,                0.94402,                0.97118,                0.68377,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     13,                 1.1197,                0.55316,                  1.069,                 0.9837,                0.94728,                0.98028,                 0.6962,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     14,                  1.109,                0.54407,                 1.0582,                0.97795,                0.95054,                0.97733,                0.69184,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     15,                 1.0975,                0.52767,                 1.0509,                 0.9821,                0.95393,                0.97912,                0.69949,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     16,                  1.104,                 0.5295,                 1.0556,                0.97656,                0.95109,                0.97555,                0.68328,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     17,                 1.0877,                0.52075,                 1.0483,                0.97885,                0.95567,                0.97695,                0.69447,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     18,                 1.0908,                0.51954,                 1.0514,                 0.9861,                 0.9462,                0.97901,                 0.6851,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     19,                 1.0878,                0.50978,                 1.0463,                0.97911,                0.95435,                0.98051,                0.68639,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     20,                 1.0837,                0.50321,                 1.0434,                 0.9784,                0.95999,                0.98195,                0.69631,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     21,                 1.0684,                0.49437,                 1.0388,                0.98254,                0.94834,                0.97774,                0.69023,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     22,                  1.072,                0.49031,                 1.0391,                 0.9741,                0.96071,                0.97786,                 0.6995,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     23,                 1.0687,                0.49296,                 1.0387,                0.98493,                0.95907,                0.97819,                0.69573,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     24,                 1.0722,                0.49045,                 1.0442,                0.98556,                0.95489,                0.98106,                0.70342,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     25,                 1.0509,                0.47533,                 1.0303,                0.97936,                0.95404,                 0.9809,                0.70827,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     26,                 1.0536,                0.47749,                 1.0312,                0.97656,                0.95924,                0.98148,                0.70539,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     27,                 1.0398,                0.46998,                 1.0235,                0.98541,                0.95465,                0.98252,                0.70285,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     28,                  1.047,                0.46987,                 1.0239,                 0.9865,                 0.9529,                0.98166,                0.70887,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     29,                 1.0393,                0.46363,                 1.0232,                0.98435,                0.95706,                0.98599,                0.71267,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     30,                   1.03,                0.45531,                 1.0202,                 0.9833,                0.96016,                0.98461,                0.71039,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     31,                  1.027,                0.44969,                 1.0179,                0.97901,                0.95543,                0.98302,                0.70811,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     32,                 1.0284,                0.45043,                 1.0218,                0.98112,                0.96027,                0.97886,                0.70624,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     33,                 1.0158,                0.44376,                 1.0191,                0.98301,                0.95652,                0.98387,                0.70899,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     34,                 1.0264,                0.44317,                 1.0196,                0.97824,                0.96359,                0.98433,                0.71549,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     35,                 1.0114,                0.43804,                 1.0153,                0.97631,                 0.9633,                0.98349,                0.70811,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     36,                 1.0109,                0.43327,                 1.0175,                0.97791,                0.96232,                0.98401,                0.71126,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     37,                  1.011,                0.43146,                 1.0158,                 0.9759,                0.96821,                0.98421,                0.71606,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     38,                 1.0095,                0.42739,                 1.0129,                0.98153,                0.96467,                0.98393,                0.71119,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     39,                0.99568,                0.42042,                 1.0079,                0.97962,                0.96682,                0.98414,                0.71448,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     40,                0.99217,                0.39525,                 1.0206,                0.98066,                 0.9647,                0.98369,                0.71416,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     41,                0.98481,                0.39463,                 1.0182,                0.97794,                0.96388,                0.98358,                0.71577,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     42,                0.98061,                0.39133,                 1.0172,                 0.9775,                0.96799,                0.98535,                0.71351,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     43,                0.97072,                  0.383,                  1.013,                0.98597,                0.95468,                0.98494,                0.71615,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     44,                0.96284,                0.37392,                 1.0096,                0.97986,                0.96467,                0.98436,                0.71829,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     45,                0.95735,                 0.3706,                 1.0088,                0.97745,                0.96848,                0.98656,                0.72304,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     46,                0.94982,                0.36395,                 1.0043,                0.98442,                 0.9614,                0.98469,                0.71652,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     47,                0.93903,                0.35705,                0.99972,                0.97389,                 0.9731,                0.98544,                0.71962,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     48,                0.93754,                0.35125,                 0.9997,                0.97951,                0.96685,                0.98836,                0.72375,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     49,                0.93157,                0.34522,                0.99706,                0.97788,                0.96957,                0.98631,                0.72489,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
